"year","age","sero","Species"
2015,3,1,"Bovine"
2015,3,0,"Bovine"
2015,4,0,"Bovine"
2015,4,1,"Bovine"
2015,10,0,"Bovine"
2015,1,0,"Bovine"
2015,1,0,"Bovine"
2015,1,0,"Bovine"
2015,4,0,"Bovine"
2015,4,1,"Bovine"
2015,4,0,"Bovine"
2015,4,1,"Bovine"
2015,4,1,"Bovine"
2015,4,1,"Bovine"
2015,4,1,"Bovine"
2015,4,1,"Bovine"
2015,4,1,"Bovine"
2015,1,0,"Bovine"
2015,1,0,"Bovine"
2015,1,0,"Bovine"
2015,1,0,"Bovine"
2015,2,0,"Bovine"
2015,1,0,"Bovine"
2015,2,0,"Bovine"
2015,2,0,"Bovine"
2015,2,0,"Bovine"
2015,1,0,"Bovine"
2015,3,0,"Bovine"
2015,3,0,"Bovine"
2015,1,0,"Bovine"
2015,2,0,"Bovine"
2015,4,0,"Bovine"
2015,6,0,"Bovine"
2015,4,0,"Bovine"
2015,1,0,"Bovine"
2015,4,1,"Bovine"
2015,1,0,"Bovine"
2015,1,0,"Bovine"
2015,1,0,"Bovine"
2015,1,0,"Bovine"
2015,1,0,"Bovine"
2015,2,0,"Bovine"
2015,1,1,"Bovine"
2015,2,0,"Bovine"
2015,2,0,"Bovine"
2015,8,0,"Bovine"
2015,5,0,"Bovine"
2015,6,0,"Bovine"
2015,1,0,"Bovine"
2015,1,0,"Bovine"
2015,1,0,"Bovine"
2015,1,0,"Bovine"
2015,1,0,"Bovine"
2015,1,0,"Bovine"
2015,1,0,"Bovine"
2015,1,0,"Bovine"
2015,4,1,"Bovine"
2015,3,0,"Bovine"
2015,4,0,"Bovine"
2015,4,1,"Bovine"
2015,3,0,"Bovine"
2015,3,0,"Bovine"
2015,3,0,"Bovine"
2015,4,1,"Bovine"
2015,4,1,"Bovine"
2015,4,0,"Bovine"
2015,3,0,"Bovine"
2015,3,0,"Bovine"
2015,4,0,"Bovine"
2015,3,0,"Bovine"
2015,3,0,"Bovine"
2015,3,0,"Bovine"
2015,3,0,"Bovine"
2015,4,0,"Bovine"
2015,4,0,"Bovine"
2015,4,0,"Bovine"
2015,3,0,"Bovine"
2015,3,0,"Bovine"
2015,3,0,"Bovine"
2015,4,0,"Bovine"
2015,3,0,"Bovine"
2015,3,0,"Bovine"
2015,3,0,"Bovine"
2015,1,0,"Bovine"
2015,3,0,"Bovine"
2015,3,0,"Bovine"
2015,1,0,"Bovine"
2015,1,0,"Bovine"
2015,1,0,"Bovine"
2015,1,0,"Bovine"
2015,1,0,"Bovine"
2015,3,0,"Bovine"
2015,3,0,"Bovine"
2015,1,0,"Bovine"
2015,1,0,"Bovine"
2015,2,0,"Bovine"
2015,2,0,"Bovine"
2015,3,0,"Bovine"
2015,2,0,"Bovine"
2015,4,1,"Bovine"
2015,3,0,"Bovine"
2015,4,0,"Bovine"
2015,3,0,"Bovine"
2015,1,0,"Bovine"
2015,2,0,"Bovine"
2015,4,0,"Bovine"
2015,3,0,"Bovine"
2015,2,0,"Bovine"
2015,4,0,"Bovine"
2015,4,0,"Bovine"
2015,1,0,"Bovine"
2015,3,1,"Bovine"
2015,1,0,"Bovine"
2015,3,1,"Bovine"
2015,4,0,"Bovine"
2015,4,0,"Bovine"
2015,4,0,"Bovine"
2015,3,0,"Bovine"
2015,3,0,"Bovine"
2015,3,0,"Bovine"
2015,3,0,"Bovine"
2015,4,0,"Bovine"
2015,4,1,"Bovine"
2015,4,0,"Bovine"
2015,4,1,"Bovine"
2015,3,0,"Bovine"
2015,3,0,"Bovine"
2015,3,1,"Bovine"
2015,4,1,"Bovine"
2015,4,1,"Bovine"
2015,4,0,"Bovine"
2015,4,1,"Bovine"
2015,4,0,"Bovine"
2015,4,0,"Bovine"
2015,4,1,"Bovine"
2015,4,1,"Bovine"
2015,1,0,"Bovine"
2015,4,1,"Bovine"
2015,4,1,"Bovine"
2015,5,0,"Bovine"
2015,7,0,"Bovine"
2015,5,1,"Bovine"
2015,9,0,"Bovine"
2015,4,0,"Bovine"
2015,2,0,"Bovine"
2015,4,0,"Bovine"
2015,4,1,"Bovine"
2015,4,1,"Bovine"
2015,3,0,"Bovine"
2015,3,1,"Bovine"
2015,3,0,"Bovine"
2015,4,0,"Bovine"
2015,4,1,"Bovine"
2015,4,0,"Bovine"
2015,1,0,"Bovine"
2015,4,0,"Bovine"
2015,4,1,"Bovine"
2015,4,0,"Bovine"
2015,4,1,"Bovine"
2015,1,0,"Bovine"
2015,4,0,"Bovine"
2015,3,0,"Bovine"
2015,1,0,"Bovine"
2015,5,0,"Bovine"
2015,8,1,"Bovine"
2015,1,0,"Bovine"
2015,8,1,"Bovine"
2015,8,1,"Bovine"
2015,5,1,"Bovine"
2015,3,0,"Bovine"
2015,2,1,"Bovine"
2015,8,1,"Bovine"
2015,4,0,"Bovine"
2015,4,1,"Bovine"
2015,4,0,"Bovine"
2015,3,1,"Bovine"
2015,4,1,"Bovine"
2015,2,0,"Bovine"
2015,2,0,"Bovine"
2015,2,0,"Bovine"
2015,4,0,"Bovine"
2015,1,0,"Bovine"
2015,1,0,"Bovine"
2015,1,0,"Bovine"
2015,4,1,"Bovine"
2015,1,0,"Bovine"
2015,1,0,"Bovine"
2015,1,0,"Bovine"
2015,2,1,"Bovine"
2015,2,1,"Bovine"
2015,2,1,"Bovine"
2015,4,1,"Bovine"
2015,4,1,"Bovine"
2015,4,0,"Bovine"
2015,1,0,"Bovine"
2015,1,0,"Bovine"
2015,1,0,"Bovine"
2015,4,1,"Bovine"
2015,3,0,"Bovine"
2015,4,0,"Bovine"
2015,1,0,"Bovine"
2015,1,0,"Bovine"
2015,1,0,"Bovine"
2015,2,0,"Bovine"
2015,2,0,"Bovine"
2015,2,0,"Bovine"
2015,2,0,"Bovine"
2015,4,1,"Bovine"
2015,4,1,"Bovine"
2015,3,1,"Bovine"
2015,4,0,"Bovine"
2015,4,0,"Bovine"
2015,2,0,"Bovine"
2015,3,0,"Bovine"
2015,3,1,"Bovine"
2015,2,0,"Bovine"
2015,3,0,"Bovine"
2015,2,0,"Bovine"
2015,2,0,"Bovine"
2015,3,0,"Bovine"
2015,3,0,"Bovine"
2015,4,1,"Bovine"
2015,4,1,"Bovine"
2015,4,1,"Bovine"
2015,4,1,"Bovine"
2015,4,1,"Bovine"
2015,4,1,"Bovine"
2015,4,1,"Bovine"
2015,4,1,"Bovine"
2015,4,1,"Bovine"
2015,4,0,"Bovine"
2015,4,0,"Bovine"
2015,4,1,"Bovine"
2015,1,0,"Bovine"
2015,1,0,"Bovine"
2015,1,0,"Bovine"
2015,1,0,"Bovine"
2015,2,0,"Bovine"
2015,4,1,"Bovine"
2015,3,0,"Bovine"
2015,1,0,"Bovine"
2015,4,0,"Bovine"
2015,2,0,"Bovine"
2015,4,1,"Bovine"
2015,4,0,"Bovine"
2015,1,0,"Bovine"
2015,3,0,"Bovine"
2015,4,0,"Bovine"
2015,4,0,"Bovine"
2015,4,0,"Bovine"
2015,4,0,"Bovine"
2015,2,0,"Bovine"
2015,4,0,"Bovine"
2015,4,0,"Bovine"
2015,3,1,"Bovine"
2015,3,0,"Bovine"
2015,2,0,"Bovine"
2015,4,0,"Bovine"
2015,3,0,"Bovine"
2015,3,0,"Bovine"
2015,1,0,"Bovine"
2015,1,0,"Bovine"
2015,3,0,"Bovine"
2015,3,0,"Bovine"
2015,3,0,"Bovine"
2015,3,0,"Bovine"
2015,4,1,"Bovine"
2015,1,0,"Bovine"
2015,1,0,"Bovine"
2015,3,0,"Bovine"
2015,4,0,"Bovine"
2015,4,1,"Bovine"
2015,4,1,"Bovine"
2015,4,1,"Bovine"
2015,4,1,"Bovine"
2015,4,0,"Bovine"
2015,4,1,"Bovine"
2015,4,1,"Bovine"
2015,4,1,"Bovine"
2015,4,0,"Bovine"
2015,4,1,"Bovine"
2015,2,0,"Bovine"
2015,7,1,"Bovine"
2015,6,1,"Bovine"
2015,2,0,"Bovine"
2015,2,0,"Bovine"
2015,6,1,"Bovine"
2015,10,1,"Bovine"
2015,7,1,"Bovine"
2015,2,0,"Bovine"
2015,1,0,"Bovine"
2015,1,0,"Bovine"
2015,1,0,"Bovine"
2015,1,0,"Bovine"
2015,1,0,"Bovine"
2015,4,0,"Bovine"
2015,4,1,"Bovine"
2015,4,1,"Bovine"
2015,2,0,"Bovine"
2015,2,0,"Bovine"
2015,2,0,"Bovine"
2015,2,0,"Bovine"
2015,2,0,"Bovine"
2015,2,0,"Bovine"
2015,3,1,"Bovine"
2015,4,1,"Bovine"
2015,4,1,"Bovine"
2015,4,1,"Bovine"
